study_id,working_fluid,ks,P,Tsat,Ra,kf,CHF
Kim_2020,FC-72,237,101.3,56,0.081081081,0.056,159.9
Kim_2020,FC-72,237,101.3,56,0.144144144,0.056,164.3
Kim_2020,FC-72,237,101.3,56,0.252252252,0.056,191.8
Kim_2020,FC-72,237,101.3,56,0.333333333,0.056,220.1
Kim_2020,FC-72,237,101.3,56,0.513513514,0.056,202.6
Kim_2020,FC-72,237,101.3,56,0.774774775,0.056,210.8
Kim_2020,FC-72,237,101.3,56,0.234234234,0.056,192.3
McHale_2010,FC-77,167,101.3,100.3,0.027,0.057,137.4663073
McHale_2010,FC-77,230,101.3,100.3,1.08,0.057,190.0269542
McHale_2010,FC-77,230,101.3,100.3,2.22,0.057,188.4097035
McHale_2010,FC-77,230,101.3,100.3,5.89,0.057,182.2102426
McHale_2010,FC-77,230,101.3,100.3,10,0.057,181.671159
Kim_2017,Water,237,101.3,100.1,0.11,0.679,1647.1
Kim_2017,Water,237,101.3,100.1,0.12,0.679,1490.6
Kim_2017,Water,237,101.3,100.1,0.25,0.679,1752.73
Kim_2017,Water,237,101.3,100.1,0.35,0.679,2151.799
Kim_2017,Water,237,101.3,100.1,0.63,0.679,2093.11
Kim_2017,Water,237,101.3,100.1,1.28,0.679,2097.02
Kim_2017,Water,237,101.3,100.1,1.47,0.679,2046.16
Kim_2017,Water,237,101.3,100.1,2.67,0.679,2042.25
Kim_2017,Water,237,101.3,100.1,2.93,0.679,2053.99
Alvarino_2019,HFE-7100,109,25,56,0.023,0.065,1200
Alvarino_2019,HFE-7100,109,50,62.5,0.023,0.065,1500
Alvarino_2019,HFE-7100,109,100,93.3,0.023,0.065,2000
Alvarino_2019,HFE-7100,109,200,120.2,0.023,0.065,2400
Alvarino_2019,HFE-7100,109,25,56,0.15,0.065,1700
Alvarino_2019,HFE-7100,109,50,62.5,0.15,0.065,2300
Alvarino_2019,HFE-7100,109,100,93.3,0.15,0.065,2900
Alvarino_2019,HFE-7100,109,200,120.2,0.15,0.065,2900
Alvarino_2019,HFE-7100,109,25,56,0.884,0.065,2200
Alvarino_2019,HFE-7100,109,50,62.5,0.884,0.065,3100
Alvarino_2019,HFE-7100,109,100,93.3,0.884,0.065,3700
Alvarino_2019,HFE-7100,109,200,120.2,0.884,0.065,3700
Alvarino_2019,HFE-7100,109,25,56,1.878,0.065,1400
Alvarino_2019,HFE-7100,109,50,62.5,1.878,0.065,2000
Alvarino_2019,HFE-7100,109,100,93.3,1.878,0.065,2800
Alvarino_2019,HFE-7100,109,200,120.2,1.878,0.065,3400
Bon2011,Pentane,109,115,35.68,0.118,0.12,331
Bon2011,Pentane,109,280,72.12,0.118,0.12,450
Bon2011,Pentane,109,110,35.68,0.027,0.12,338.2352941
Bon2011,Pentane,15,110,35.68,0.329,0.12,255.7189542
Bon2011,Pentane,15,360,78.03,0.329,0.12,338.2352941
Bon2011,Pentane,15,110,35.68,0.127,0.12,227.9411765
Bon2011,Pentane,15,300,72.12,0.127,0.12,261.4379085
Bon2011,Butane,109,350,37.23,0.095,0.016,475.5852843
Bon2011,Butane,109,400,41.99,0.095,0.016,514.7157191
Bon2011,Butane,15,350,37.23,0.329,0.016,377.2575251
Bon2011,Butane,15,300,31.91,0.127,0.016,252.8428094
Bombardieri_2016,LN2,560,101,-196,0.076,0.14,195
Bombardieri_2016,LN2,290,101,-196,0.141,0.14,115
Bombardieri_2016,LN2,8,101,-196,0.117,0.14,83
Ahmad_2011,R-123,401,101,27.5,3.5,0.083,238.8990826
Ahmad_2011,R-123,401,101,27.5,3.5,0.083,440.6639004
Fan_2020,Water,401,101,99.5,0.045,0.68,864.9207345
Fan_2020,Water,401,101,99.5,0.17,0.68,823.9051095
Fan_2020,Water,401,101,99.5,0.37,0.68,1031.934307
Fan_2020,Water,401,101,99.5,0.57,0.68,1062.043796
Fan_2020,Water,401,101,99.5,0.83,0.68,1212.591241
Fan_2020,Water,401,101,99.5,1.22,0.68,1250.912409
Fan_2020,Water,401,101,99.5,0.38,0.68,916.9280338
Fan_2020,Water,401,101,99.5,0.15,0.68,938.825844
Suszko_2015,PF-5060,401,85,51,0.039,0.057,157.0422535
Suszko_2015,PF-5060,401,85,51,0.134,0.057,180.8
Suszko_2015,PF-5060,401,85,51,0.21,0.057,184.45
Suszko_2015,PF-5060,401,85,51,0.28,0.057,190.8
Suszko_2015,PF-5060,401,85,51,0.58,0.057,205.62
Suszko_2015,PF-5060,401,85,51,0.8,0.057,216.19
Suszko_2015,PF-5060,401,85,51,0.925,0.057,213.02
Suszko_2015,PF-5060,401,85,51,1.79,0.057,215.83
Joottu2015,HFE-7100,393,80,54,0.33,0.063,272.7792645
Joottu2015,HFE-7100,393,80,54,0.78,0.063,285.9008115
Kim_2016,Water,390,101,100,0.041,0.68,750.44
Kim_2016,Water,390,101,100,0.057,0.68,867.95
Kim_2016,Water,390,101,100,0.061,0.68,862.61
Kim_2016,Water,390,101,100,0.114,0.68,1052.22
Kim_2016,Water,390,101,100,0.169,0.68,1060.23
Kim_2016,Water,390,101,100,0.59,0.68,1257.86
Kim_2016,Water,390,101,100,0.997,0.68,1460.83
Kim_2016,Water,390,101,100,1.95,0.68,1602.37
Kim_2016,Water,390,101,100,2.36,0.68,1607.71
El-Genk 2020,HFE-7000 (Novec),400,85,30.6,0.039,0.073,215.6
El-Genk 2020,HFE-7000 (Novec),400,85,30.6,0.134,0.073,251
El-Genk 2020,HFE-7000 (Novec),400,85,30.6,0.21,0.073,265.3
El-Genk 2020,HFE-7000 (Novec),400,85,30.6,0.28,0.073,274.8
El-Genk 2020,HFE-7000 (Novec),400,85,30.6,0.33,0.073,280.4
El-Genk 2020,HFE-7000 (Novec),400,85,30.6,0.58,0.073,300.6
McHale2013,FC-72,1.4,102.7,57,0.263,0.057,132.7284193
McHale2013,FC-72,1.4,102.7,57,0.622,0.057,152.9077915
McHale2013,FC-72,1.4,102.7,57,1.396,0.057,234.0737108
McHale2013,FC-72,1.4,102.7,57,4.25,0.057,260.5311099
McHale2013,FC-72,1.4,102.7,57,7.51,0.057,239.0064462
McHale2013,FC-72,1.4,102.7,57,4.4,0.057,200.8898543
McHale2013,FC-72,1.4,102.7,57,3.73,0.057,165.9122758
Kruse2015,Water,16,101,100,0.04,0.6,910
Kruse2015,Water,16,101,100,1.4,0.6,1420
Kruse2015,Water,16,101,100,4.6,0.6,1210
Kruse2015,Water,16,101,100,7.8,0.6,1100
Kruse2015,Water,16,101,100,7.4,0.6,1220
Bock2020,R-134a,400,349.074,5,1.37,0.083,189
Bock2020,R-245fa,400,124.134,20,1.37,0.074,112
Bock2020,R-134a,400,349.074,5,1.37,0.083,245
Nguyen_2018,FC-72,148,101,56,0,0.057,155
Nguyen_2018,FC-72,148,101,56,0.105,0.057,175
Nguyen_2018,FC-72,148,101,56,0.158,0.057,194.8099415
Nguyen_2018,FC-72,148,101,56,0.28,0.057,222.2165113
Nguyen_2018,FC-72,148,101,56,0.561,0.057,236.4708973
Kwark2010,Water,398,101,100,0.3,0.606,1010
Kwark2010,Water,398,101,100,0.8,0.606,1710
Kwark2010,Water,398,101,100,2.4,0.606,1900
Kwark2010,Water,398,101,100,2,0.606,1930
Kwark2010,Water,398,101,100,2,0.606,1960
Kim2016,Water,398,101,100,0.041,0.606,751.5183878
Kim2016,Water,398,101,100,0.061,0.606,842.4544948
Kim2016,Water,398,101,100,0.057,0.606,871.875
Kim2016,Water,398,101,100,0.169,0.606,1053.747214
Kim2016,Water,398,101,100,0.114,0.606,1048.398031
Kim2016,Water,398,101,100,0.59,0.606,1257.016159
Kim2016,Water,398,101,100,0.997,0.606,1460.285104
Kim2016,Water,398,101,100,1.95,0.606,1607.38763
Kim2016,Water,398,101,100,2.36,0.606,1604.713039
Ahn2010,Water,16,101,100,0.15,0.606,1004
Ahn2010,Water,16,101,100,0.15,0.606,1272
Ahn2010,Water,16,101,100,0.13,0.606,1148
Ahn2010,Water,16,101,100,0.11,0.606,1167
Ahn2010,Water,16,101,100,0.15,0.606,1352
Ahn2010,Water,16,101,100,0.05,0.606,1669
Ahn2010,Water,16,101,100,0.07,0.606,1406
Ahn2010,Water,16,101,100,0.32,0.606,1924
Ahn2010,Water,16,101,100,0.31,0.606,1770
Saeidi2013,Water,160,82.13,94.1,0.007,0.67,1318
Saeidi2013,Water,160,82.13,94.1,0.009,0.67,1412
Saeidi2013,Water,160,82.13,94.1,0.009,0.67,1509
Saeidi2013,Water,160,82.13,94.1,0.008,0.67,1509
Saeidi2013,Water,160,82.13,94.1,0.008,0.67,1714
Saeidi2013,Water,160,82.13,94.1,0.0072,0.67,1509
Saeidi2013,Water,160,82.13,94.1,0.007,0.67,1318
Saeidi2013,Water,160,82.13,94.1,0.007,0.67,1412
Saeidi2013,Water,160,82.13,94.1,0.008,0.67,1412
Saeidi2013,Water,160,82.13,94.1,0.007,0.67,1509
Saeidi2013,Water,160,82.13,94.1,0.007,0.67,1412
Saeidi2013,Water,160,82.13,94.1,0.0075,0.67,1412
Saeidi2013,Water,160,82.13,94.1,0.007,0.67,1318
Saeidi2013,Water,160,82.13,94.1,0.007,0.67,1412
Saeidi2013,Water,160,82.13,94.1,0.008,0.67,1412
Saeidi2013,Water,160,82.13,94.1,0.006,0.67,1227
Saeidi2013,Water,160,82.13,94.1,0.006,0.67,1227
Saeidi2013,Water,160,82.13,94.1,0.014,0.67,1318
Saeidi2013,Water,160,82.13,94.1,0.007,0.67,1610
Saeidi2013,Water,160,82.13,94.1,0.007,0.67,1412
Saeidi2013,Water,160,82.13,94.1,0.006,0.67,1318
Saeidi2013,Water,160,82.13,94.1,0.008,0.67,1610
O'Hanley 2012,Water,25,101.3,99.5,0.0033,0.67,920
O'Hanley 2012,Water,25,101.3,99.5,0.00416,0.67,1009
O'Hanley 2012,Water,25,101.3,99.5,0.00596,0.67,968
O'Hanley 2012,Water,25,101.3,99.5,0.13591,0.67,1617
O'Hanley 2012,Water,25,101.3,99.5,0.11698,0.67,34
O'Hanley 2012,Water,25,101.3,99.5,2.66719,0.67,1063
O'Hanley 2012,Water,25,101.3,99.5,2.66719,0.67,1022
O'Hanley 2012,Water,25,101.3,99.5,2.59457,0.67,1067
O'Hanley 2012,Water,25,101.3,99.5,2.23129,0.67,1590
O'Hanley 2012,Water,25,101.3,99.5,0.21237,0.67,1589
O'Hanley 2012,Water,25,101.3,99.5,0.21237,0.67,1758
O'Hanley 2012,Water,25,101.3,99.5,0.21237,0.67,1634
O'Hanley 2012,Water,25,101.3,99.5,0.09439,0.67,1666
O'Hanley 2012,Water,25,101.3,99.5,0.09439,0.67,1661
O'Hanley 2012,Water,25,101.3,99.5,0.09439,0.67,1620
O'Hanley 2012,Water,25,101.3,99.5,0.03398,0.67,1571
O'Hanley 2012,Water,25,101.3,99.5,0.03398,0.67,1869
O'Hanley 2012,Water,25,101.3,99.5,0.03398,0.67,1488
O'Hanley 2012,Water,25,101.3,99.5,0.0236,0.67,1696
O'Hanley 2012,Water,25,101.3,99.5,0.0236,0.67,1440
O'Hanley 2012,Water,25,101.3,99.5,0.0236,0.67,1700
O'Hanley 2012,Water,25,101.3,99.5,0.15904,0.67,1472
O'Hanley 2012,Water,25,101.3,99.5,0.15904,0.67,1461
O'Hanley 2012,Water,25,101.3,99.5,0.15904,0.67,1574
O'Hanley 2012,Water,25,101.3,99.5,0.02011,0.67,1428
O'Hanley 2012,Water,25,101.3,99.5,0.02011,0.67,1424
O'Hanley 2012,Water,25,101.3,99.5,0.02011,0.67,1674
O'Hanley 2012,Water,25,101.3,99.5,0.00283,0.67,1454
O'Hanley 2012,Water,25,101.3,99.5,0.00283,0.67,1177
O'Hanley 2012,Water,25,101.3,99.5,0.00283,0.67,1177
O'Hanley 2012,Water,25,101.3,99.5,0.28274,0.67,1597
O'Hanley 2012,Water,25,101.3,99.5,0.28274,0.67,1501
O'Hanley 2012,Water,25,101.3,99.5,0.28274,0.67,1288
